Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date,SkuId,Order Quantity
"Magic","Sodden Verdure (Extended Art)","Near Mint","44","Commander: Lorwyn Eclipsed","R","1","","01/23/2026 00:00:00","9081565","30574A2E-9AB6C3-93B1A:1"
"Magic","Fountainport (Extended Art)","Near Mint","368","Bloomburrow","R","1","","08/02/2024 00:00:00","8046410","30574A2E-68EDB1-CB7A8:1"
"Magic","Dragonskull Summit: Dragonskull Summit","Near Mint","223","Magic 2010 (M10)","R","1","https://static.tcgplayer.com/11701C34-66C1-4421-BDA2-B96B8F341089.jpg","07/17/2009 00:00:00","310783","30574A2E-68EDB1-CB7A8:1"
"Magic","Lightning Bolt","Near Mint","146","Magic 2010 (M10)","C","2","","07/17/2009 00:00:00","310749","30574A2E-A7259F-3FC04:2"
"Magic","Loot, Exuberant Explorer (Borderless)","Near Mint","336","Foundations","R","1","","11/15/2024 00:00:00","8343100","30574A2E-FF1C3F-06671:1"
"Magic","Back in Town","Near Mint","18","Commander: Outlaws of Thunder Junction","R","1","","04/19/2024 00:00:00","7860822","30574A2E-68EDB1-CB7A8:1"
"Magic","Bounty Board","Near Mint","37","Commander: Outlaws of Thunder Junction","R","1","","04/19/2024 00:00:00","7860852","30574A2E-68EDB1-CB7A8:1"
"Magic","Scholar of New Horizons (Extended Art)","Near Mint","53","Commander: The Brothers' War","R","1","","11/18/2022 00:00:00","6702201","30574A2E-0502D3-3A01A:1"
"Magic","Lembas","Near Mint","243","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","C","1","","06/23/2023 00:00:00","7197425","30574A2E-A3A298-9423E:1"
"Magic","Vihaan, Goldwaker","Near Mint Foil","8","Commander: Outlaws of Thunder Junction","M","1","","04/19/2024 00:00:00","7857672","30574A2E-68EDB1-CB7A8:1"
"Magic","Dawn of a New Age (Borderless Poster)","Near Mint Foil","731","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","1","","06/23/2023 00:00:00","7448371","30574A2E-99CF01-C8173:1"
Orders Contained in Pull Sheet:,30574A2E-A3A298-9423E|30574A2E-0502D3-3A01A|30574A2E-68EDB1-CB7A8|30574A2E-99CF01-C8173|30574A2E-9AB6C3-93B1A|30574A2E-FF1C3F-06671|30574A2E-A7259F-3FC04
